type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,UPI,50,1368.21,2024-04-28T07:55:36+05:30,28-04-2024,c5ab64ea-0396-4a7c-8be2-100c3b71479c,UPI/4485,
DEBIT,UPI,10,1358.21,2024-04-28T13:09:05+05:30,28-04-2024,6cf2ffde-995f-4b76-aa3f-fc89a49a063b,UPI/GPAY,
DEBIT,UPI,50,1308.21,2024-04-28T18:56:18+05:30,28-04-2024,5787039c-d591-4037-b405-41f479eab738,UPI/4485,
CREDIT,UPI,1,1309.21,2024-04-28T19:23:24+05:30,28-04-2024,3671ec65-a102-4085-a87e-dff09f0cbee8,UPI/44851,
CREDIT,UPI,499,1808.21,2024-04-28T19:24:38+05:30,28-04-2024,bb44094f-ffae-4f0c-a470-64db270135e3,UPI/41198/,
DEBIT,UPI,15,1793.21,2024-04-28T21:01:49+05:30,28-04-2024,2693e44b-2c17-4ca1-bc5b-e2d5a70a8a16,UPI/44852/JIOINAPPDIRECT,
CREDIT,OTHERS,650,2443.21,2024-04-29T06:13:39+05:30,29-04-2024,485c56b1-d27b-401c-91e7-1bf1819af65e,NEFT,8646845
CREDIT,OTHERS,50,2493.21,2024-04-30T05:49:04+05:30,30-04-2024,fd59d877-049e-4437-999c-aa3708cf4f35,NEFT,8646845
DEBIT,UPI,70,2423.21,2024-04-30T10:04:17+05:30,30-04-2024,3e3da725-f004-4c1d-bf1a-38152f6fd861,UPI/4487,
DEBIT,UPI,10,2413.21,2024-04-30T10:30:02+05:30,30-04-2024,8d035697-5860-4674-b4f9-c3069fd3430b,UPI/41213,
DEBIT,UPI,15,2398.21,2024-04-30T10:33:15+05:30,30-04-2024,d6cceb33-4191-4155-a920-409f86132852,UPI/41213,
DEBIT,UPI,480,1918.21,2024-04-30T13:20:14+05:30,30-04-2024,0496d418-8cae-4098-a82d-cbd898b35b41,UPI/4487,
DEBIT,UPI,1000,918.21,2024-04-30T14:11:00+05:30,30-04-2024,34f26469-0133-4b42-b636-4723bfe87d5a,UPI/4487,
DEBIT,UPI,130,788.21,2024-04-30T15:56:26+05:30,30-04-2024,871f81b0-9a74-44f7-b768-dc8dfe6b1162,UPI/GPAY,
DEBIT,UPI,600,188.21,2024-04-30T19:26:30+05:30,30-04-2024,ef2366dd-5641-4f8d-b20d-7d7939805ada,UPI/41,
CREDIT,OTHERS,1650,1838.21,2024-05-01T06:23:33+05:30,01-05-2024,bba4b15f-1786-439f-a2a1-bf997b3b4752,NEFT,8646845
DEBIT,UPI,242,1596.21,2024-05-01T07:11:50+05:30,01-05-2024,677511e3-dfb7-4881-958d-5dde8afffba0,UPI/JIOINAPPDIRECT/,
CREDIT,OTHERS,47,1643.21,2024-05-02T05:25:12+05:30,30-04-2024,21384645-789d-4f28-adbd-ee1fcb2c11c4,518881000,
CREDIT,OTHERS,860,2503.21,2024-05-02T05:49:21+05:30,02-05-2024,7a29d991-5022-4824-9ad1-a03be38ae62f,NEFT,8646845
DEBIT,UPI,20,2483.21,2024-05-02T11:53:45+05:30,02-05-2024,8ebb1040-10d1-4bbb-8134-630b5d3e5831,UPI/41232,
DEBIT,UPI,10,2473.21,2024-05-02T14:27:43+05:30,02-05-2024,1a9f6f0a-2a9a-48d9-98ac-70440ef6c411,UPI/41232,
DEBIT,UPI,80,2393.21,2024-05-02T16:34:02+05:30,02-05-2024,647ab463-69b0-44a6-aff9-1ccc2b286aac,UPI/PAYTMap,
DEBIT,UPI,1500,893.21,2024-05-02T17:28:22+05:30,02-05-2024,97d36ab3-0c08-4eeb-8f67-2bc3855889d7,AMZN,
DEBIT,UPI,130,763.21,2024-05-02T18:05:15+05:30,02-05-2024,c4676bc4-dd7c-4c36-b6b9-64645fd25530,UPI/GPAY,
DEBIT,UPI,130,633.21,2024-05-02T18:52:10+05:30,02-05-2024,480a7681-c5f5-4a9f-b57a-69e8c889cab2,UPI/GPAY,
DEBIT,UPI,400,233.21,2024-05-02T19:36:40+05:30,02-05-2024,273f8cf5-89b5-4bc0-93f9-5579657b690f,UPI/41234,
DEBIT,UPI,130,103.21,2024-05-02T20:52:08+05:30,02-05-2024,7a6ce6c6-9f59-4718-85a5-9fb34af27dd5,UPI/GPAY,
CREDIT,OTHERS,320,423.21,2024-05-03T08:07:58+05:30,03-05-2024,e4c7abc2-955a-4555-862f-70563324d33e,NEFT,8646845
DEBIT,UPI,50,373.21,2024-05-03T17:07:53+05:30,03-05-2024,14326b1d-1770-4776-9b6a-7a90e5e4bbe0,UPI/PAYTMap,
DEBIT,UPI,180,193.21,2024-05-03T21:08:57+05:30,03-05-2024,55b55f0e-0b96-4b6e-9aa0-049d73bc4ed9,UPI/PAYTMmp,
CREDIT,OTHERS,1380,1573.21,2024-05-04T06:21:33+05:30,04-05-2024,61dcecc9-1d67-4edc-a8a6-50d066a74c1b,NEFT,8646845
DEBIT,UPI,20,1553.21,2024-05-04T12:52:35+05:30,04-05-2024,f3b86d1b-1889-44d6-8907-786dd2ed001e,UPI/GPAY,
DEBIT,UPI,130,1423.21,2024-05-04T16:59:11+05:30,04-05-2024,f34cd85b-f0ce-4c09-852a-b4b324eda39e,UPI/GPAY,
DEBIT,UPI,400,1023.21,2024-05-04T19:42:35+05:30,04-05-2024,196523fd-76f6-4768-a8ce-2f18d4267f9e,UPI/41252,
